ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
1,"5278200826","0000","KENT FALL","MISC","1","12.50","0.000","18.99","1","12.500","0.000","18.99","Tax","MISC","MISC","UNKNOWN","0.00",0,"34.18",1,1,"D",0,"general",0,"00000",1,,,,,0,0,"Gift Item",,"4PK",0,0,0,0,,,0,0
6,"2105904750","721059047500","CAMPARI MILANO BITTER LIQUEUR 750ML","750ML","1","26.41","26.410","35.99","1","26.410","26.410","35.99","Tax","LIQUEUR","LIQUOR","BRESCOME","6.00",6,"26.62",12,2,"B",0,"general","35866","36128",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
7,"5774400132","857744001325","JOSH CHARDONNAY  750ML","750ML","1","9.62","9.790","12.99","1","9.620","9.790","12.99","Tax","US WINE","WINE","BRESCOME","13.00",13,"25.94",36,28,"A",0,"general","10994","98373",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
8,"s8549811112","0000","WICKED STRAW. BLAND 12OZ BTL.","12OZ","1","1.18","0.000","1.51","1","1.180","0.000","1.51","NoTax","BEER","BEER","G & G BEVERAGE DIST","0.00",0,"21.85",24,1,"D",0,"general",0,"22611",24,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
9,"8700050785","0000","PARROT BAY 6 PACK","6PK","1","6.18","0.000","7.99","1","6.180","0.000","7.99","Tax","BEER","BEER","STAR","0.00",0,"22.65",4,1,"D",0,"general",0,"69197",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
11,"9530113028","0000","ROGUE YELLOW SNOW 22OZ","22OZ","1","5.50","0.000","7.99","1","5.500","0.000","7.99","Tax","BEER","BEER","NULL","0.00",0,"31.16",12,1,"D",0,"general",0,"05587",12,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
12,"7289000621","072890006219","HEINEKEN 0.0% NON ALC BEER 6PK BOTTLE 12 OZ","12OZ","1","9.47","9.470","11.99","1","9.470","9.470","11.99","Tax","NON-ALC",,"HDI","5.00",5,"21.02",8,7,"B",0,"general","4517","73382",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
14,"8088749396","080887493966","BOGLE CABERNET SAUVIGNON 750ML","750ML","1","7.00","7.000","10.99","1","7.000","7.000","10.99","Tax","US WINE","WINE","CDI","28.00",28,"36.31",1,1,"C",0,"general","2331445","31281",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
16,"9674900369","096749003693","FULTON'S HARVEST PUMPKIN PIE CREAM LIQUEUR 750ML","750ML","1","7.91","0.000","11.99","1","7.910","0.000","11.99","Tax","CORDIALS & LIQUEURS","LIQUOR","HP","7.00",7,"34.03",0,0,"D",0,"general","622647","43661",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
18,"1153801121","811538011211","JOSE CUERVO MARGARITA MIX 1L",,"1","4.67","0.000","5.99","1","4.670","0.000","5.99","Tax","LIQUOR","LIQUOR","NULL","0.00",0,"22.04",2,2,"D",0,"general",0,"67919",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
20,"8224201754","0000","DELICATO MERLOT DOMINO","1.50","1","7.00","0.000","9.99","1","7.000","0.000","9.99","Tax","WINE","WINE","NULL","0.00",0,"29.93",1,1,"D",0,"general",0,"90783",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
21,"8500043256, 8500003256","085000432563, 085000432563","HIGH NOON PASSIONFRUIT HARD SELTZER 4PK","355ML","1","8.06","8.000","10.99","1","8.060","8.000","10.99","Tax","RTD COCKTAILS","LIQUOR","CDI","3.00, 0.00",3,"26.66",6,3,"B",0,"general","9633210","20856",6,,,,,0,0,"Inventory Item",,"No Deposit",0,0,0,0,,,0,0
23,"9100600015","0000","CORVO ROSSO 750ML","750ML","1","7.75","0.000","11.59","1","7.750","0.000","11.59","Tax","SPARKLING WINE","WINE","UNKNOWN","0.00",0,"33.13",12,1,"D",0,"general",0,"18660",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
24,"3741100060","637411000604","GIESEN MARLBOROUGH SAUVIGNON BLANC 750ML","750ML","1","8.67","8.670","12.99","1","8.670","8.670","12.99","Tax","IMPORTED WINE","WINE","EDER BROS","9.00",9,"33.26",12,2,"B",0,"general","3106317","46852",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
29,"4304112205","0000","NAUTI SALZER","MISC","1","7.00","0.000","10.99","1","7.000","0.000","10.99","Tax","6-PKBEER",,"NULL","0.00",0,"36.31",1,1,"D",0,"general",0,"42724",1,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
30,"8668200023","0000","RJ ROCKERS SON OF A PEACH WHEAT ALE 6PK 330ML","6PK","1","9.75","0.000","11.99","1","9.750","0.000","11.99","Tax","BEER 4,6, AND 8 PACKS","BEER","NULL","0.00",0,"18.68",4,1,"D",0,"general",0,"95778",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
34,"5124400535","0000","SHEBEEN 6PKS","6PK","1","7.50","0.000","10.99","1","7.500","0.000","10.99","Tax","6-PKBEER",,"NULL","0.00",0,"31.76",4,1,"D",0,"general",0,"99938",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
37,"6000123297","6000123297","FRUIT SNACK","MISC","1","13.25","0.000","16.99","1","13.250","0.000","16.99","Tax","MISC","MISC","UNKNOWN","0.00",0,"22.01",0,0,"D",0,"general",0,"90003",1,,,,,0,0,"Inventory Item",,"4PK",0,0,0,0,,,0,0
39,"8858649895","0000","COL CR GE CHARDONNAY 750ML","750ML","1","9.99","0.000","11.99","1","9.990","0.000","11.99","Tax","US WINE","WINE","BRESCOME","0.00",0,"16.68",12,1,"D",0,"general",0,"05670",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
40,"8048050540","080480505400","BACARDI RESERVA OCHO 8YR RARE GOLD RUM 750ML","750ML","1","24.99","24.990","32.99","1","24.990","24.990","32.99","Tax","RUM","LIQUOR","CDI","2.00",2,"24.25",0,0,"D",0,"general","41749","58566",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
41,"8500000357","0000","BURLWOOD CAB.SAU.1.5L","1.5LT","1","9.54","0.000","10.99","1","9.540","0.000","10.99","Tax","WINE","WINE","CDI MERCH-D","0.00",0,"13.19",6,1,"D",0,"general",0,"25000",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
42,"6810100036","868101000363","WRENCH INDUSTRIAL ARTS HAZY IPA 4PK CANS","16OZ","1","11.56","11.560","14.99","1","11.560","11.560","14.99","Tax","4 PK BEER","BEER","SARENE CRAFT BEER","5.00",5,"22.88",6,2,"B",0,"general","54004","13471",6,,,,,0,0,"Inventory Item",,"4PK",0,0,0,0,,,0,0
43,"8242248933","0000","PRESIDENTE BRANDY 750ML","750ML","1","12.60","0.000","16.99","1","12.600","0.000","16.99","Tax","BRANDY","LIQUOR","CDI","0.00",0,"25.84",12,1,"D",0,"general",0,"05193",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
44,"5573800074","0000","INDABA CHARDONNAY WESTERN CAPE","750","1","5.33","0.000","7.99","1","5.330","0.000","7.99","Tax","WINE","WINE","WORLD WIDE","0.00",0,"33.29",1,1,"D",0,"general",0,"62696",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
48,"8907620562","0000","BLACK BOSS 16.9OZ","MISC","1","1.05","0.000","1.60","1","1.050","0.000","1.60","Tax","BEER","BEER","ARKO LLC","0.00",0,"34.38",1,1,"D",0,"general",0,"71301",1,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
49,"5389700223","0000","SPIKED SELTZER LIME 120Z CAN","12OZ","1","1.50","0.000","1.99","1","1.500","0.000","1.99","Tax","LOTTO","LOTTO","NULL","0.00",0,"24.62",24,1,"D",0,"general",0,"63359",24,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
50,"2695991274","0000","BOULEVARD 12PK ","12PK","1","16.00","0.000","20.99","1","16.000","0.000","20.99","Tax","MISC","MISC","UNKNOWN","0.00",0,"23.77",2,1,"D",0,"general",0,"10140",2,,,,,0,0,"Inventory Item",,"4PK",0,0,0,0,,,0,0
52,"7825000024","0000","ST IDES 40 OZ SINGLE BOTTLE","SINGLE","1","1.80","0.000","2.44","1","1.800","0.000","2.44","Tax","SINGLE BEER","BEER","STAR","0.00",0,"26.23",1,1,"D",0,"general",0,"87999",1,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
61,"8200000395","08239503","SMIRNOFF 50ML CITRUS","50ML","1","0.74","0.740","1.10","1","0.740","0.740","1.10","Tax","VODKA","LIQUOR","EDER BROS","0.00",0,"32.73",120,15,"D",0,"general","20966","75137",120,,,,,0,0,"Inventory Item","Environmental fee","No Deposit",0,0,0,0,,,0,0
64,"8981906008","0000","MERIDIAN CHARDONNAY 15","750","1","6.16","0.000","8.99","1","6.160","0.000","8.99","Tax","WINE","WINE","ALLAN S GOOD","0.00",0,"31.48",1,1,"D",0,"general",0,"59654",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
66,"0946000201","0000","WILD BUNCH WHITE WINE 750ML","750ML","1","6.00","0.000","8.99","1","6.000","0.000","8.99","Tax","WINE","WINE","CDI","0.00",0,"33.26",12,1,"D",0,"general",0,"50550",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
68,"8175382242","081753822422","DOM PERIGNON CHAMPAGNE BOX VINTAGE 2013 750ML","750ML","1","227.25","0.000","299.99","1","227.250","0.000","299.99","Tax","CHAMPAGNE","WINE","BRESCOME","0.00",0,"24.25",6,1,"D",0,"general","30998","35990",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
69,"S6880900011","0000","POWDER HOLLOW 16OZ","16OZ","1","3.00","0.000","3.99","1","3.000","0.000","3.99","Tax","BEER","BEER","NULL","0.00",0,"24.81",12,1,"D",0,"general",0,"36847",12,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
71,"8069615114","0000","BV COASTAL PINOT NOIR 750ML","750ML","1","6.08","0.000","9.99","1","6.080","0.000","9.99","Tax","WINE","WINE","EDER BROS","0.00",0,"39.14",12,1,"D",0,"general",0,"36551",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
73,"7031000012","070310000120","GENESEE CREAM ALE 30PK CAN 12 OZ","30PK","1","16.33","0.000","21.99","1","16.330","0.000","21.99","Tax","BEER","BEER","A. GALLO","0.00",0,"25.74",0,0,"D",0,"general",0,"57161",1,,,,,0,0,"Inventory Item",,"30PK",0,0,0,0,,,0,0
74,"8230187876","0000","PALO VIEJO WHITE RUM 375ML","375ML","1","5.26","0.000","7.99","1","5.260","0.000","7.99","Tax","LIQ 375",,"BRESCOME","0.00",0,"34.17",24,1,"D",0,"general",0,"16872",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
75,"3125900070","031259000701","REDEMPTION HIGH RYE BOURBON 750ML","750ML","1","20.99","20.490","27.99","1","20.990","20.490","27.99","Tax","BOURBON","LIQUOR","BRESCOME","3.00",3,"25.01",0,0,"D",0,"general","53130","86381",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
77,"s5149711798","0000","SINGLE","SINGLE","1","3.89","0.000","4.99","1","3.890","0.000","4.99","Tax","6-PKBEER",,"NULL","0.00",0,"22.04",1,1,"D",0,"general",0,"67533",1,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
78,"8427999632","0000","THE DUBLINER IRISH WHISKEY 750ML","750ML","1","29.63","0.000","37.99","1","29.630","0.000","37.99","Tax","IRISH WHISKEY","LIQUOR","UNKNOWN","0.00",0,"22.01",0,0,"D",0,"general",0,"26929",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
80,"8615000222","786150002223","STELLA ARTOIS PETITE 7FL OZ 6PK BOTTLE","7FL OZ","1","6.54","6.540","8.69","1","6.540","6.540","8.69","Tax","6 PK BEER","BEER","HDI","0.00",0,"24.74",0,0,"D",0,"general","67516","98224",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
82,"3658522250","0000","POIZIN CALIFORNIA ZINFANDEL","750","1","7.33","0.000","11.99","1","7.330","0.000","11.99","Tax","WINE","WINE","NULL","0.00",0,"38.87",1,1,"D",0,"general",0,"89020",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
83,"1590704268","0000","MCKENZIE'S ROSE","MISC","1","7.75","0.000","11.99","1","7.750","0.000","11.99","Tax","6-PKBEER",,"NULL","0.00",0,"35.36",1,1,"D",0,"general",0,"63196",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
84,"8800402084","088004020842","BENCHMARK BOURBON 750ML","750ML","1","10.99","0.000","20.99","1","10.990","0.000","20.99","Tax","BOURBON","LIQUOR","NULL","0.00",0,"47.64",0,0,"D",0,"general",0,"19599",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
87,"s0919111113","0000","GADHI-BAT","MISC","1","2.68","0.000","4.99","1","2.680","0.000","4.99","Tax","BEER","BEER","NULL","0.00",0,"46.29",1,1,"D",0,"general",0,"92197",1,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
89,"5389700222","0000","SPIKED SELTZER CRANBERRY 6 PK","6PK","1","7.00","0.000","9.49","1","7.000","0.000","9.49","Tax","BEER","BEER","NULL","0.00",0,"26.24",4,1,"D",0,"general",0,"76943",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
90,"8678552003","086785520032","CITRA MONT. D ABRUZZO 1.5L","1.5LT","1","5.99","0.000","9.99","1","5.990","0.000","9.99","Tax","WINE","WINE","WORLD WIDE","0.00",0,"40.04",6,1,"D",0,"general",0,"76275",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
91,"5688100414","0000","BLUE CHAIR BAY BANANA RUM","750ML","1","18.00","0.000","25.99","1","18.000","0.000","25.99","Tax","RUM","LIQUOR","NULL","0.00",0,"30.74",12,1,"D",0,"general",0,"57611",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
92,"1957801112","0000","TWO CONN EASY ALE 6PK","6PK","1","10.13","0.000","12.99","1","10.130","0.000","12.99","Tax","6-PKBEER",,"NULL","0.00",0,"22.02",4,1,"D",0,"general",0,"64184",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
93,"4543271007","0000","BRECKENRIDGE 72 IMPERIAL","MISC","1","7.50","0.000","11.99","1","7.500","0.000","11.99","Tax","BEER","BEER","NULL","0.00",0,"37.45",1,1,"D",0,"general",0,"23436",1,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
94,"8520000579","085200005796","SEAGLASS PINOT GRIGIO 750ML","750ML","1","8.67","8.670","11.99","1","8.670","8.670","11.99","Tax","US WINE","WINE","CDI","10.00",10,"27.69",12,5,"B",0,"general","9145351","46274",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
95,"8312010069","083120100690","FRANZIA CHILLABLE RED 5L","5LT","1","16.79","0.000","21.99","1","16.790","0.000","21.99","Tax","US WINE","WINE","EDER BROS","0.00",0,"23.65",0,0,"D",0,"general",0,"05355",4,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
96,"8992423040","089924230403","YUENGLING LIGHT 12PK BTLS 12 OZ","12PK","1","10.82","0.000","14.59","1","10.820","0.000","14.59","Tax","BEER 12 AND 15 PACKS","BEER","A. GALLO","0.00",0,"25.84",0,0,"D",0,"general",0,"92639",2,,,,,0,0,"Inventory Item",,"12PK",0,0,0,0,,,0,0
99,"8210073839","082100738397","BLACK BOX SAUVIGNON BLANC 3L","3LT","1","14.61","14.630","19.99","1","14.610","14.630","19.99","Tax","IMPORTED WINE","WINE","CDI","9.00",9,"26.91",1,1,"C",0,"general","9086524","90820",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
101,"8500001582","0000","FREI BROS RSV SAUV BLANC","750","1","10.00","0.000","14.99","1","10.000","0.000","14.99","Tax","WINE","WINE","CDI MERCH-D","0.00",0,"33.29",1,1,"D",0,"general",0,"27982",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
102,"8811015305","0000","HENNESSY XO 750ML","750ML","1","161.99","204.990","249.99","1","161.990","204.990","249.99","Tax","COGNAC","LIQUOR","CDI","1.00",1,"35.20",0,0,"D",0,"general",0,"37932",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
104,"8600309193","086003091931","ROBERT MONDAVI PRIVATE SELECTION PINOT NOIR 750ML","750ML","1","6.80","0.000","9.99","1","6.800","0.000","9.99","Tax","US WINE","WINE","HARTLEY PARKER","0.00",0,"31.93",0,0,"D",0,"general",0,"65216",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
108,"9973300062","0000","EXCLUSIV VODKA BERRY 750ML","750ML","1","7.58","0.000","10.99","1","7.580","0.000","10.99","Tax","VODKA","LIQUOR","CDI MERCH-D","0.00",0,"31.03",12,1,"D",0,"general",0,"22825",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
109,"7480600306","0000","DAILY RUM R.1.5L","1.5LT","1","3.69","0.000","5.49","1","3.690","0.000","5.49","Tax","SODA",,"UNKNOWN","0.00",0,"32.79",6,1,"D",0,"general",0,"80460",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
113,"3410000376, 3410057707","03437610, 03437610","MILLER LITE ALUMINIUM 15PK BOTTLE 16 OZ","16OZ","1","1.24","0.000","2.29","1,15","1.240,18.600","0.000,0.000","2.29,23.990","Tax","BEER","BEER","A. GALLO","77.00, 0.00",77,"45.85",45,45,"B",0,"general",0,"63219",15,,,,,0,1,"Inventory Item",,"1PK",0,0,0,0,,,0,0
115,"3522900110","835229001107","ABSOLUT CITRON VODKA 200ML","200ML","1","7.00","0.000","10.99","1","7.000","0.000","10.99","Tax","VODKA","LIQUOR","HARTLEY PARKER","21.00",21,"36.31",0,0,"D",0,"general",0,"77198",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
119,"8700000316","0000","GODIVA 50 ML","50ML","1","2.35","0.000","2.99","1","2.350","0.000","2.99","Tax","LIQUOR","LIQUOR","CDI","0.00",0,"21.40",120,1,"D",0,"general",0,"36767",120,,,,,0,0,"Inventory Item","Environmental fee","No Deposit",0,0,0,0,,,0,0
121,"4119004431","0000","SPRING WATER 17OZ","MISC","1","0.69","0.000","0.89","1","0.690","0.000","0.89","Tax","SODA",,"NULL","0.00",0,"22.47",1,1,"D",0,"general",0,"97992",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
128,"8500000910","0000","GOSSAMERBAY CAB.SAU.1.5L","1.5LT","1","8.00","0.000","9.99","1","8.000","0.000","9.99","Tax","WINE","WINE","UNKNOWN","0.00",0,"19.92",6,1,"D",0,"general",0,"81893",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
129,"4944000252","0000","OMME GANG DRY CIDER 4PK","4PK","1","10.13","0.000","12.99","1","10.130","0.000","12.99","Tax","MISC","MISC","UNKNOWN","0.00",0,"22.02",6,1,"D",0,"general",0,"08761",6,,,,,0,0,"Inventory Item",,"4PK",0,0,0,0,,,0,0
130,"7684113013","0000","WISNIOWKA CHERRY 80PF 750ML","750ML","1","8.91","0.000","12.99","1","8.910","0.000","12.99","Tax","LIQUOR","LIQUOR","BRESCOME","0.00",0,"31.41",12,1,"D",0,"general",0,"48856",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
131,"1103450100","0000","M&R PROSCECCO 750ML","750ML","1","9.74","0.000","13.99","1","9.740","0.000","13.99","Tax","IMPORTED WINE","WINE","CDI","0.00",0,"30.38",12,1,"D",0,"general",0,"48714",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
133,"3659100915","336591009154","PETIT (HENRI) BOURGEOUIS SAUVIGNON BLANC 750ML","750ML","1","9.99","9.990","14.99","1","9.990","9.990","14.99","Tax","IMPORTED WINE","WINE","EDER BROS","0.00",0,"33.36",12,10,"A",0,"general","1309617","57675",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
134,"5860400548","5860400548","AUSTIN BLOOD WATERMELON 12OZ C","12OZ","1","8.12","0.000","12.99","1","8.120","0.000","12.99","Tax","BEER","BEER","NULL","0.00",0,"37.49",0,0,"D",0,"general",0,"34197",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
135,"2820000180","0000","MERIT ULTRA LT BOX","MISC","1","8.70","0.000","9.40","1","8.700","0.000","9.40","Tax","CIGS",,"MTC","0.00",0,"7.45",1,1,"D",0,"general",0,"39189",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
137,"1230000093","0000","CAMEL MENTHOL BOX","SINGLE","1","9.83","0.000","12.77","1","9.830","0.000","12.77","Tax","CIGARETTES","CIGARETTES","NULL","0.00",0,"23.02",1,1,"D",0,"general",0,"34951",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
140,"5909300250","0000","BENGALI SIX POINT","MISC","1","2.58","0.000","3.99","1","2.580","0.000","3.99","Tax","BEER","BEER","NULL","0.00",0,"35.34",1,1,"D",0,"general",0,"99884",1,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
144,"8130800087","081308000879","FISHEYE SAUV BLANC 6PK","6PK","1","14.42","0.000","20.99","1","14.420","0.000","20.99","Tax","WINE","WINE","EDER BROS","0.00",0,"31.30",0,0,"D",0,"general",0,"62702",4,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
146,"5003701554, 0500370155","050037015546, 050037015546","DISARONNO AMARETTO 200ML","200ML","1","10.49","10.490","15.99","1","10.490","10.490","15.99","Tax","LIQUEUR","LIQUOR","CDI","-6.00, 8.00",2,"34.40",0,0,"D",0,"general","17236","13484",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
147,"8941900303","089419003031","WARRE'S WARRIOR PORTO FINEST RESERVE 750ML","750ML","1","15.99","0.000","22.99","1","15.990","0.000","22.99","Tax","PORT",,"BRESCOME","0.00",0,"30.45",12,1,"D",0,"general","85705","92118",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
148,"8112800010","0000","FINLANDIA GRAPEFRUIT 1.75L","1.75LT","1","20.91","0.000","25.99","1","20.910","0.000","25.99","Tax","LIQUOR","LIQUOR","EDER BROS","0.00",0,"19.55",6,1,"D",0,"general",0,"61805",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
149,"8382012360","083820123609","GUINNESS DRAUGHT STOUT 4PK CANS 14.9 FLOZ","4PK","1","1.88","0.000","2.85","1,4","1.880,7.520","0.000,0.000","2.85,9.990","Tax","BEER","BEER","A. GALLO","15.00",15,"34.04",24,10,"B",0,"general",0,"19909",24,,,,,0,1,"Inventory Item",,"1PK",0,0,0,0,,,0,0
151,"1390010003","0000","BAR-TENDERS BLOODY MARRY 750ML","750ML","1","4.67","0.000","5.99","1","4.670","0.000","5.99","Tax","DRINKS","GROCERY","NULL","0.00",0,"22.04",12,1,"D",0,"general",0,"77234",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
153,"8068683502, 8068600880","080686835028, 080686008804","SAUZA TEQUILA REPOSADO 750ML","750ML","1","15.99","0.000","28.99","1","15.990","0.000","28.99","Tax","TEQUILA","LIQUOR","BRESCOME","0.00, 2.00",2,"44.84",0,0,"D",0,"general","55597","84304",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
154,"8500002284","085000022849","LA MARCA PROSECCO 1.5 LT","1.5LT","1","22.33","22.330","33.99","1","22.330","22.330","33.99","Tax","WINE","WINE","CDI","14.00",14,"34.30",6,4,"A",0,"general","9064479","77928",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
155,"s189012","0000","SHOCK TOP","MISC","1","1.17","0.000","1.50","1","1.170","0.000","1.50","Tax","BEER","BEER","NULL","0.00",0,"22.00",1,1,"D",0,"general",0,"91937",1,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
156,"5607500025","0000","EFFEN BLACK CHERRY 1.75L","1.75LT","1","45.99","0.000","59.99","1","45.990","0.000","59.99","Tax","LIQUOR","LIQUOR","ALLAN S GOOD","0.00",0,"23.34",6,1,"D",0,"general",0,"74349",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
157,"7086002370","0000","H.H.TOM COLLINS 1.L","1LT","1","3.89","0.000","4.99","1","3.890","0.000","4.99","Tax","SODA",,"UNKNOWN","0.00",0,"22.04",12,1,"D",0,"general",0,"98842",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
163,"5244400315","852444003150","BULLY BOY","MISC","1","24.00","0.000","35.99","1","24.000","0.000","35.99","Tax","LIQUOR","LIQUOR","NULL","0.00",0,"33.31",0,0,"D",0,"general",0,"95389",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
164,"5160100006","851601000063","TWENTY BENCH CABERNET SAUVIGNON 750ML","750ML","1","13.32","0.000","15.99","1","13.320","0.000","15.99","Tax","IMPORTED WINE","WINE","UNKNOWN","0.00",0,"16.70",12,1,"D",0,"general",0,"14972",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
165,"7243800071","0000","BALLAST POINT EVEN KEEL CAN 12 OZ","12OZ","1","9.00","0.000","12.99","1","9.000","0.000","12.99","Tax","BEER 4,6, AND 8 PACKS","BEER","NULL","0.00",0,"30.72",24,1,"D",0,"general",0,"49914",24,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
167,"8636005032","0000","COLLECTIVE ART SOUR","MISC","1","11.50","0.000","16.99","1","11.500","0.000","16.99","Tax","6-PKBEER",,"NULL","0.00",0,"32.31",1,1,"D",0,"general",0,"41348",1,,,,,0,0,"Inventory Item",,"4PK",0,0,0,0,,,0,0
168,"8941943409","089419434095","CONO SUR CABERNET SAUVIGNON 1.5L","1.5LT","1","10.00","0.000","14.99","1","10.000","0.000","14.99","Tax","WINE","WINE","NULL","0.00",0,"33.29",0,0,"D",0,"general",0,"63530",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
170,"8366487046","0000","MILAGRO SIVER 750ML","750ML","1","31.00","0.000","40.99","1","31.000","0.000","40.99","Tax","LIQUOR","LIQUOR","NULL","0.00",0,"24.37",12,1,"D",0,"general",0,"10314",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
171,"5957800101","0000","DUMANTE VERDE NOCE 750","MISC","1","31.29","0.000","35.99","1","31.290","0.000","35.99","Tax","CORDIALS & LIQUEURS","LIQUOR","NORTHEAST","0.00",0,"13.06",1,1,"D",0,"general",0,"10004",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
173,"8427999630","084279996301","THE DUBLINER IRISH LIQUEUR 750ML","750ML","1","22.66","0.000","30.99","1","22.660","0.000","30.99","Tax","IRISH WHISKEY","LIQUOR","UNKNOWN","0.00",0,"26.88",12,2,"D",0,"general",0,"67017",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
