ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
15171,"1011377002","810113770024","WHITE CLAW PINEAPPLE VODKA","750ML","1","14.99","14.990","18.99","1","14.990","14.990","18.99","Tax","VODKA","LIQUOR","CDI","1.00",1,"21.06",0,0,"D",0,"general","9670460","44132",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15172,"1011377001","810113770017","WHITE CLAW MANGO VODKA 750ML","750ML","1","14.99","14.990","18.99","1","14.990","14.990","18.99","Tax","VODKA","LIQUOR","CDI","2.00",2,"21.06",0,0,"D",0,"general","9670488","54465",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15173,"1011377000","810113770000","WHITE CLAW BLACK CHERRY VODKA","750ML","1","14.99","14.990","18.99","1","14.990","14.990","18.99","Tax","VODKA","LIQUOR","CDI","0.00",0,"21.06",0,0,"D",0,"general","9670489","56880",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15174,"1011377003","810113770031","WHITE CLAW PREMIUM VODKA","750ML","1","14.99","14.990","18.99","1","14.990","14.990","18.99","Tax","VODKA","LIQUOR","CDI","2.00",2,"21.06",0,0,"D",0,"general","9670486","96638",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15175,"8559215705","085592157059","FIVE FARMS IRISH CREAM 750ML","750ML","1","21.58","21.580","29.99","1","21.580","21.580","29.99","Tax","CORDIALS & LIQUEURS","LIQUOR","CDI","0.00",0,"28.04",0,0,"D",0,"general","9306921","78716",9,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15176,"1100000100","0000","WALKER ROAD RED TABLE WINE","750ML","1","20.00","18.000","28.99","1","20.000","18.000","28.99","Tax","WINE","WINE","WALKER ROAD VINEYARDS","8.00",8,"31.01",12,3,"B",0,"general",0,"59466",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15177,"111100002","0000","WALKER ROAD WHITE TABLE WINE","750ML","1","20.00","18.000","28.99","1","20.000","18.000","28.99","Tax","WINE","WINE","WALKER ROAD VINEYARDS","7.00",7,"31.01",12,1,"B",0,"general",0,"16677",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15178,"8500003404","085000034040","MERCER & PRINCE BLENDED CANADIAN WHISKEY ","700ML","1","24.09","24.090","33.99","1","24.090","24.090","33.99","Tax","WHISKEY","LIQUOR","CDI","5.00",5,"29.13",0,0,"D",0,"general","9656001","98457",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15179,"1111111111","0000","RETURNS",,"1","157.00","157.000","0.00","1","157.000","157.000","0.00","Tax",,,"HDI","-5251.00",-5251,"0.00",0,0,"D",0,"general","75007","45436",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15180,"111100099","0000","ENVIRONMENTAL FEE 20X4",,"1","1.00","1.000","0.00","1","1.000","1.000","0.00","Tax",,,"HP","1.00",1,"0.00",0,0,"D",0,"general","999110","40910",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15181,"8068603601","080686036012","TWISTED TEA SWEET TEA WHISKEY 50ML","50ML","1","0.74","0.740","0.99","1","0.740","0.740","0.99","Tax","WHISKEY","LIQUOR","CDI","177.00",177,"25.25",0,0,"D",0,"general","9656647","91806",120,,,,,0,0,"Inventory Item","Environmental fee",,0,0,0,0,,,0,0
15182,"8500003609","085000036099","HIGH NOON TEQUILA SELTZER VARIETY PACK 8PK","355ML","1","18.15","18.150","22.99","1","18.150","18.150","22.99","Tax","RTD COCKTAILS","LIQUOR","CDI","7.00",7,"21.05",12,10,"A",0,"general","9680624","97989",3,,,,,0,0,"Inventory Item",,"No Deposit",0,0,0,0,,,0,0
15183,"5003759603","050037596038","BUSKER IRISH WHISKEY","750ML","1","16.16","16.160","22.99","1","16.160","16.160","22.99","Tax","IRISH WHISKEY","LIQUOR","CDI","0.00",0,"29.71",0,0,"D",0,"general","9438355","88346",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15184,"5171800070","851718000703","REDWOOD EMPIRE EMERALD GIANT RYE WHISKEY ","750ML","1","24.99","24.990","35.99","1","24.990","24.990","35.99","Tax","RYE WHISKEY",,"BRESCOME","2.00",2,"30.56",0,0,"D",0,"general","13195","95528",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15185,"5171800071","851718000710","REDWOOD EMPIRE PIPE DREAM BOURBON WHISKEY 750ML","750ML","1","24.99","24.990","35.99","1","24.990","24.990","35.99","Tax","BOURBON","LIQUOR","BRESCOME","3.00",3,"30.56",0,0,"D",0,"general","13197","24662",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15187,"8807618795","088076187955","DON JULIO ROSADO","750ML","1","93.82","93.820","124.99","1","93.820","93.820","124.99","Tax","TEQUILA","LIQUOR","BRESCOME","3.00",3,"24.94",0,0,"D",0,"general","31010","62615",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15188,"4330401941","843304019411","BOUCHARD BOURGOGNE RESERVE PINOT NOIR","750ML","1","18.00","18.000","26.99","1","18.000","18.000","26.99","Tax","WINE","WINE","SLOCUM & SONS INC","0.00",0,"33.31",12,3,"D",0,"general","6112693","08417",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15189,"1004705002, 7573400008","810047050025, 810047050025","BILA HAUT BLANC COTES M. CHAPOUTIER","750ML","1","8.00","8.000","12.99","1","8.000","8.000","12.99","Tax","WINE","WINE","SLOCUM & SONS INC","-12.00, 12.00",0,"38.41",1,1,"D",0,"general",0,"35687",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15190,"2303531368","023035313686","VILLA SOPITA SANGIOVESE DI PUGLIA RED","750ML","1","6.00","5.670","8.99","1","6.000","5.670","8.99","Tax","WINE","WINE","TOUTON MONSIEUR TOUTON SELECTION LTD","0.00",0,"33.26",0,0,"D",0,"general","81002-21","95240",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15191,"8807618825","088076188259","LAGAVULIN DISTILLERS EDITION 86PROOF","750ML","1","57.75","57.750","110.99","1","57.750","57.750","110.99","Tax","SCOTCH","LIQUOR","BRESCOME","2.00",2,"47.97",0,0,"D",0,"general","50586","25811",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15192,"8048000750","080480007508","DEWAR'S SIGNATURE-25 YR BLENDED SCOTCH WHISKEY","750ML","1","119.99","119.990","239.99","1","119.990","119.990","239.99","Tax","SCOTCH","LIQUOR","CDI","1.00",1,"50.00",0,0,"D",0,"general","9265560","99475",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15193,"8043210404","080432104040","CHIVAS REGAL 25 YEARS OLD ULTRA BLENDED SCOTCH WHISKEY","750ML","1","255.57","255.570","329.99","1","255.570","255.570","329.99","Tax","SCOTCH","LIQUOR","CDI","1.00",1,"22.55",0,0,"D",0,"general","9019814","66219",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15194,"2105900237","721059002370","GLEN GRANT-18 YR SINGLE MALT SCOTCH WHISKEY","750ML","1","127.49","127.490","179.99","1","127.490","127.490","179.99","Tax","SCOTCH","LIQUOR","MARTIGNETTI ","1.00",1,"29.17",0,0,"D",0,"general","694866","41896",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15195,"2105900263","721059002639","GLEN GRANT-15 YR SINGLE MALT SCOTCH WHISKEY","750ML","1","67.49","67.470","89.99","1","67.490","67.470","89.99","Tax","SCOTCH","LIQUOR","HP","2.00",2,"25.00",0,0,"D",0,"general","94849","15987",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15196,"2105900234","721059002349","GLEN GRANT-12 YR SINGLE MALT SCOTCH WHISKEY","750ML","1","40.49","44.990","59.99","1","40.490","44.990","59.99","Tax","SCOTCH","LIQUOR","HP","1.00",1,"32.51",0,0,"D",0,"general","94834","46305",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15197,"8068600456","080686004561","ON THE ROCKS MIDOURI SOUR","375ML","1","9.41","9.410","12.99","1","9.410","9.410","12.99","Tax","LIQUEUR","LIQUOR","BRESCOME","0.00",0,"27.56",0,0,"D",0,"general","31442","55417",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15198,"8807618819","088076188198","CIROC HONEY MELON LIMITED EDITION","750ML","1","26.99","26.990","34.99","1","26.990","26.990","34.99","Tax","VODKA","LIQUOR","BRESCOME","0.00",0,"22.86",0,0,"D",0,"general","30394","67769",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15199,"1114410107","8411144101072","LARIOS ROSE MEDITERRANEA STRAWBERRIES GIN ","750ML","1","14.99","14.990","20.99","1","14.990","14.990","20.99","Tax","GIN","LIQUOR","BRESCOME","2.00",2,"28.59",0,0,"D",0,"general","30583","05214",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15200,"1114410109","8411144101096","LARIOS MEDITERRANEA PREMIUM ORANGE BLOSSOM GIN","750ML","1","14.99","16.990","20.99","1","14.990","16.990","20.99","Tax","GIN","LIQUOR","BRESCOME","3.00",3,"28.59",0,0,"D",0,"general","30582","06664",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15201,"000000111","0000","ENVORONMENTAL FEE 20X4",,"1","4.00","4.000","0.00","1","4.000","4.000","0.00","Tax",,,"HARTLEY PARKER","1.00",1,"0.00",0,0,"D",0,"general","999110","06362",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15202,"8678564325, 1010801005","086785643250, 086785643250","DOS MADERAS CASK BARREL 5+3 DOUBLE AGED RUM","750ML","1","22.08","22.080","29.99","1","22.080","22.080","29.99","Tax","RUM","LIQUOR","BRESCOME","-3.00, 3.00",0,"26.38",0,0,"D",0,"general",0,"96761",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15203,"8500042387, 8500002387","085000423875, 085000423875","BAREFOOT SPRITZER SUMMER RED 250ML 4PK CAN","250ML","1","1.40","1.400","2.19","1,4","1.400,5.600","1.400,0.000","2.19,8.490","Tax","US WINE","WINE","CDI","-57.00, 59.00",2,"36.07",0,0,"D",0,"general","9193231","71905",24,,,,,0,1,"Inventory Item",,"4PK",0,0,0,0,,,0,0
15205,"1110000111","0000","ENV FEE 20X4",,"1","4.00","4.000","0.00","1","4.000","4.000","0.00","Tax",,,"HP","1.00",1,"0.00",0,0,"D",0,"general","999110","24599",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15207,"5146100874","851461008742","THREESOME COSMOPOLITAN RTM","150ML","1","6.29","6.290","8.99","1","6.290","6.290","8.99","Tax","RTD COCKTAILS","LIQUOR","SoNo ARTISAN DISTILLERS LLC","2.00",2,"30.03",0,0,"D",0,"general",0,"02486",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15208,"8678556011, 8700030135","086785560113, 086785560113","TRIMBACH  RIESLING 750ML","750ML","1","14.83","14.830","24.99","1","14.830","14.830","24.99","Tax","RIESLING",,"BRESCOME","-12.00, 12.00",0,"40.66",12,1,"D",0,"general","32358","55228",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15209,"5146100882","851461008827","SILVER BOURBON BLEND 1420","750ML","1","31.16","28.070","39.99","1","31.160","28.070","39.99","Tax","BOURBON","LIQUOR","SoNo ARTISAN DISTILLERS LLC","0.00",0,"22.08",12,1,"D",0,"general",0,"90900",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15210,"5146100896","851461008964","BLAZE CINNAMON FLAVORED WHISKEY 750ML","750ML","1","23.32","0.000","29.99","1","23.320","0.000","29.99","Tax","WHISKEY","LIQUOR","SoNo ARTISAN DISTILLERS LLC","3.00",3,"22.24",0,0,"D",0,"general",0,"26178",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15211,"8600325122","086003251229","MEIOMI PINOT NOIR 375ML","375ML","1","8.83","0.000","12.99","1","8.830","0.000","12.99","Tax","WINE 375",,"SLOCUM & SONS INC","0.00",0,"32.02",0,0,"D",0,"general",0,"33211",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15212,"8048098847","080480988470","GREY GOOSE CLASSIC MARTINI COCKTAIL","750ML","1","20.24","20.240","27.99","1","20.240","20.240","27.99","Tax","RTD COCKTAILS","LIQUOR","BRESCOME","1.00",1,"27.69",0,0,"D",0,"general","31602","59685",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15213,"9999988982","0000","HOUSE PAY",,"1","0.00","0.000","0.00","1","0.000","0.000","0.00","NoTax",,,,"-92.00",-92,"0.00",0,0,"D",0,"general",0,"91915",1,,,,,0,0,"House Pay",,,0,0,0,0,,,0,0
